time,frequency,confidence
8.990,440.375,0.976656
9.000,440.308,0.975504
9.010,440.097,0.974655
9.020,440.164,0.973583
9.030,440.193,0.974124
9.040,440.584,0.977808
9.050,440.530,0.977681
9.060,440.386,0.978455
9.070,440.493,0.978990
9.080,440.433,0.978377
9.090,440.574,0.979413
9.100,440.568,0.979642
9.110,440.233,0.978616
9.120,440.120,0.975912
9.130,439.762,0.970048
9.140,439.983,0.970541
9.150,440.287,0.973151
9.160,440.341,0.974673
9.170,440.597,0.975656
9.180,440.401,0.973426
9.190,440.341,0.971116
9.200,440.344,0.969135
9.210,440.095,0.962056
9.220,440.273,0.953059
9.230,439.676,0.928254
9.240,438.543,0.744540
9.250,393.471,0.564445
9.260,392.302,0.850550
9.270,391.079,0.908297
9.280,390.755,0.920397
9.290,391.151,0.930456
9.300,391.319,0.938101
9.310,392.057,0.957183
9.320,391.986,0.959550
9.330,392.160,0.966480
9.340,391.694,0.960604
9.350,391.869,0.959491
9.360,391.728,0.955638
9.370,391.601,0.950151
9.380,391.672,0.954949
9.390,391.860,0.959236
9.400,391.968,0.961814
9.410,392.112,0.964577
9.420,391.935,0.964112
9.430,392.050,0.967645
9.440,391.606,0.959272
9.450,391.914,0.963584
9.460,391.619,0.954173
9.470,391.836,0.957966
9.480,391.654,0.953953
9.490,391.771,0.956342
9.500,391.612,0.952952
9.510,391.817,0.957125
9.520,391.904,0.960141
9.530,391.982,0.959834
9.540,392.047,0.962157
9.550,392.009,0.964814
9.560,391.698,0.955140
9.570,391.613,0.953707
9.580,391.469,0.949397
9.590,391.305,0.941640
9.600,391.459,0.949626
9.610,391.441,0.951409
9.620,391.832,0.959144
9.630,391.825,0.960027
9.640,391.603,0.955201
9.650,391.730,0.961329
9.660,391.464,0.953822
9.670,391.619,0.955729
9.680,391.509,0.954894
9.690,391.501,0.949731
9.700,391.361,0.944374
9.710,391.398,0.932136
9.720,391.423,0.925795
9.730,391.151,0.828501
9.740,392.551,0.666053
9.750,498.085,0.563128
9.760,497.868,0.873310
9.770,496.755,0.929084
9.780,494.653,0.923208
9.790,494.280,0.948497
9.800,494.187,0.950772
9.810,493.906,0.951913
9.820,493.734,0.952382
9.830,493.805,0.959579
9.840,493.435,0.956306
9.850,492.870,0.942207
9.860,493.328,0.957828
9.870,494.025,0.965607
9.880,494.153,0.960357
9.890,494.144,0.968571
9.900,494.655,0.974087
9.910,494.168,0.972535
9.920,493.597,0.966064
9.930,493.494,0.963750
9.940,493.591,0.967641
9.950,493.628,0.962720
9.960,494.187,0.961359
9.970,494.236,0.963788
9.980,494.894,0.972382
9.990,494.867,0.974850
10.000,495.841,0.976848
10.010,495.731,0.971128
10.020,494.699,0.972238
10.030,494.109,0.967589
10.040,494.233,0.969814
10.050,494.477,0.969995
10.060,494.833,0.972183
10.070,494.749,0.971412
10.080,494.690,0.973414
10.090,494.764,0.967859
10.100,494.846,0.965857
10.110,494.883,0.968914
10.120,494.019,0.964658
10.130,494.026,0.965682
10.140,493.677,0.962867
10.150,493.481,0.955997
10.160,493.694,0.957986
10.170,493.836,0.967950
10.180,493.648,0.962346
10.190,493.713,0.957699
10.200,493.585,0.942762
10.210,493.731,0.931008
10.220,493.946,0.881400
10.230,494.235,0.850908
10.240,497.766,0.506531
10.250,526.012,0.416375
10.260,528.409,0.833979
10.270,525.783,0.900938
10.280,524.090,0.939831
10.290,524.368,0.950481
10.300,524.382,0.946058
10.310,523.968,0.949580
10.320,523.687,0.948289
10.330,524.079,0.952162
10.340,524.359,0.961731
10.350,524.291,0.962262
10.360,524.562,0.964051
10.370,524.668,0.961358
10.380,524.839,0.960788
10.390,524.621,0.960917
10.400,524.614,0.961813
10.410,524.591,0.960199
10.420,524.751,0.961013
10.430,524.356,0.961862
10.440,524.517,0.961152
10.450,524.628,0.960228
10.460,524.146,0.960597
10.470,523.832,0.958748
10.480,524.966,0.958224
10.490,524.948,0.964411
10.500,524.070,0.960149
10.510,524.527,0.959462
10.520,524.621,0.962133
10.530,524.058,0.962281
10.540,524.291,0.962221
10.550,525.084,0.962689
10.560,523.998,0.959835
10.570,523.604,0.953134
10.580,524.015,0.953207
10.590,524.400,0.955809
10.600,523.867,0.954007
10.610,524.463,0.958069
10.620,524.779,0.963477
10.630,524.546,0.962051
10.640,524.286,0.960460
10.650,524.644,0.961252
10.660,524.985,0.960975
10.670,525.207,0.959291
10.680,524.915,0.961188
10.690,523.988,0.939936
10.700,524.444,0.916346
10.710,524.949,0.889961
10.720,524.860,0.846395
